Date,Open,High,Low,Close,Prev_close,Change,%_change
2018-09-14,14.25,14.25,12.3225,13.8425,14.25,-0.41,-2.86
2018-09-17,13.8425,14.635,11.73,14.495,13.8425,0.65,4.71
2018-09-18,14.495,14.62,11.8725,14.415,14.495,-0.08,-0.55
2018-09-19,14.415,14.4775,11.745,14.005,14.415,-0.41,-2.84
2018-09-21,14.005,16.92,10.9825,15.535,14.005,1.53,10.92
2018-09-24,15.535,17.855,13.8025,17.4275,15.535,1.89,12.18
2018-09-25,17.4275,18.31,16.2175,16.6825,17.4275,-0.74,-4.27
2018-09-26,16.6825,17.575,15.1,17.0875,16.6825,0.4,2.43
2018-09-27,17.0875,17.37,15.6025,16.9225,17.0875,-0.16,-0.97
2018-09-28,16.9225,17.6925,15.925,16.995,16.9225,0.07,0.43
2018-10-01,16.995,18.8625,16.27,16.835,16.995,-0.16,-0.94
2018-10-03,16.835,18.6475,15.575,18.1175,16.835,1.28,7.62
2018-10-04,18.1175,19.685,17.485,18.915,18.1175,0.8,4.4
2018-10-05,18.915,20.4825,18.4525,19.7325,18.915,0.82,4.32
2018-10-08,19.7325,21.765,18.4775,20.1475,19.7325,0.41,2.1
2018-10-09,20.1475,20.3575,17.47,19.755,20.1475,-0.39,-1.95
2018-10-10,19.755,19.755,17.725,17.9075,19.755,-1.85,-9.35
2018-10-11,17.9075,20.845,17.6275,20.5475,17.9075,2.64,14.74
2018-10-12,20.5475,20.5475,16.6725,18.6275,20.5475,-1.92,-9.34
2018-10-15,18.6275,19.8225,15.9825,18.885,18.6275,0.26,1.38
2018-10-16,18.885,18.885,14.28,17.3725,18.885,-1.51,-8.01
2018-10-17,17.3725,18.2025,14.8425,17.98,17.3725,0.61,3.5
2018-10-19,17.98,20.0525,17.4475,19.7875,17.98,1.81,10.05
2018-10-22,19.7875,21.6725,17.08,21.3575,19.7875,1.57,7.93
2018-10-23,21.3575,22.3475,18.7625,19.0375,21.3575,-2.32,-10.86
2018-10-24,19.0375,19.81,17.7125,18.88,19.0375,-0.16,-0.83
2018-10-25,18.88,20.33,18.4975,18.9625,18.88,0.08,0.44
2018-10-26,18.9625,21.04,18.66,19.2325,18.9625,0.27,1.42
2018-10-29,19.2325,20.8125,19.2325,19.825,19.2325,0.59,3.08
2018-10-30,19.825,20.7725,19.55,20.5025,19.825,0.68,3.42
2018-10-31,20.5025,22.815,19.575,19.7975,20.5025,-0.71,-3.44
2018-11-01,19.7975,20.13,18.8975,19.1925,19.7975,-0.61,-3.06
2018-11-02,19.1925,19.1925,17.485,18.23,19.1925,-0.96,-5.01
2018-11-05,18.23,19.8225,17.735,19.4825,18.23,1.25,6.87
2018-11-06,19.4825,19.4825,16.18,18.505,19.4825,-0.98,-5.02
2018-11-07,18.505,18.505,16.81,17.8775,18.505,-0.63,-3.39
2018-11-09,17.8775,18.755,16.755,17.765,17.8775,-0.11,-0.63
2018-11-12,17.765,19.4625,16.475,19.3675,17.765,1.6,9.02
2018-11-13,19.3675,19.685,17.1225,18.695,19.3675,-0.67,-3.47
2018-11-14,18.695,19.5075,14.77,18.825,18.695,0.13,0.7
2018-11-15,18.825,18.915,15.4975,18.455,18.825,-0.37,-1.97
2018-11-16,18.455,18.8675,16.8975,18.35,18.455,-0.1,-0.57
2018-11-19,18.35,19.65,13.515,19.255,18.35,0.9,4.93
2018-11-20,19.255,19.6475,18.2525,19.3275,19.255,0.07,0.38
2018-11-21,19.3275,20.0975,15.54,19.555,19.3275,0.23,1.18
2018-11-22,19.555,20.0025,17.0875,19.16,19.555,-0.39,-2.02
2018-11-26,19.16,20.5275,15.0175,20.4025,19.16,1.24,6.48
2018-11-27,20.4025,20.4025,16.605,18.315,20.4025,-2.09,-10.23
2018-11-28,18.315,19.355,16.6725,17.96,18.315,-0.36,-1.94
2018-11-29,17.96,18.85,14.93,18.6975,17.96,0.74,4.11
2018-11-30,18.6975,19.915,16.81,19.1625,18.6975,0.46,2.49
2018-12-03,19.1625,19.605,16.31,18.2225,19.1625,-0.94,-4.91
2018-12-04,18.2225,19.62,16.905,18.1075,18.2225,-0.11,-0.63
2018-12-05,18.1075,18.8275,16.62,18.39,18.1075,0.28,1.56
2018-12-06,18.39,19.55,15.91,19.305,18.39,0.91,4.98
2018-12-07,19.305,19.6275,15.9825,18.59,19.305,-0.71,-3.7
2018-12-10,18.59,20.645,16.89,20.4375,18.59,1.85,9.94
2018-12-11,20.4375,20.4375,17.2025,17.945,20.4375,-2.49,-12.2
2018-12-12,17.945,17.945,15.4175,15.81,17.945,-2.13,-11.9
2018-12-13,15.81,15.905,11.9125,15.55,15.81,-0.26,-1.64
2018-12-14,15.55,15.5975,12.6725,15.1575,15.55,-0.39,-2.52
2018-12-17,15.1575,15.9125,13.8675,14.54,15.1575,-0.62,-4.07
2018-12-18,14.54,15.3125,11.9825,14.5775,14.54,0.04,0.26
2018-12-19,14.5775,14.865,11.87,14.66,14.5775,0.08,0.57
2018-12-20,14.66,14.9175,13.72,14.3325,14.66,-0.33,-2.23
2018-12-21,14.3325,16.23,12.94,15.9925,14.3325,1.66,11.58
2018-12-24,15.9925,17.1325,14.8975,15.75,15.9925,-0.24,-1.52
2018-12-26,15.75,17.4775,14.8075,15.92,15.75,0.17,1.08
2018-12-27,15.92,16.375,12.5625,16.0725,15.92,0.15,0.96
2018-12-28,16.0725,16.0725,15.015,15.27,16.0725,-0.8,-4.99
2018-12-31,15.27,16.1525,14.65,16.0,15.27,0.73,4.78
2019-01-01,16.0,16.4,15.15,15.325,16.0,-0.68,-4.22
2019-01-02,15.325,16.9475,14.8375,16.3875,15.325,1.06,6.93
2019-01-03,16.3875,17.1475,15.435,16.79,16.3875,0.4,2.46
2019-01-04,16.79,16.9725,15.485,16.1625,16.79,-0.63,-3.74
2019-01-07,16.1625,16.455,15.3025,16.3025,16.1625,0.14,0.87
2019-01-08,16.3025,16.5725,14.735,15.7,16.3025,-0.6,-3.7
2019-01-09,15.7,16.3225,13.895,15.27,15.7,-0.43,-2.74
2019-01-10,15.27,15.6075,14.1475,15.345,15.27,0.08,0.49
2019-01-11,15.345,15.83,14.3625,15.3525,15.345,0.01,0.05
2019-01-14,15.3525,16.5525,15.3525,16.1575,15.3525,0.8,5.24
2019-01-15,16.1575,16.1575,12.9925,15.5825,16.1575,-0.57,-3.56
2019-01-16,15.5825,16.3075,12.8,16.0775,15.5825,0.5,3.18
2019-01-17,16.0775,16.4275,12.9925,16.2425,16.0775,0.16,1.03
2019-01-18,16.2425,16.905,12.3075,16.6175,16.2425,0.38,2.31
2019-01-21,16.6175,18.34,14.36,18.1475,16.6175,1.53,9.21
2019-01-22,18.1475,18.4725,15.51,17.985,18.1475,-0.16,-0.9
2019-01-23,17.985,18.2875,12.015,18.085,17.985,0.1,0.56
2019-01-24,18.085,18.3775,14.5425,17.435,18.085,-0.65,-3.59
2019-01-25,17.435,18.14,14.365,17.69,17.435,0.26,1.46
2019-01-28,17.69,19.28,14.5875,18.8975,17.69,1.21,6.83
2019-01-29,18.8975,19.795,18.04,18.4275,18.8975,-0.47,-2.49
2019-01-30,18.4275,18.4275,15.9775,17.85,18.4275,-0.58,-3.13
2019-01-31,17.85,17.85,16.445,17.1225,17.85,-0.73,-4.08
2019-02-01,17.1225,17.185,15.545,15.72,17.1225,-1.4,-8.19
2019-02-04,15.72,16.4525,14.9675,15.7225,15.72,0.0,0.02
